"location","lat","lon","altitude","tas_C","tasmin_C","tasmax_C","pr_mm","hur_percent","year","month"
"Hopa",41.4,41.4,20,-1.9721740722656,-4.99936523437498,1.35955200195315,1.31347780697979,68.0315399169922,2015,1
"Hopa",41.4,41.4,20,-0.720098876953102,-3.2166809082031,2.37606201171877,1.03202777390834,61.0661010742188,2015,2
"Hopa",41.4,41.4,20,5.1004577636719,1.27556762695315,9.1865173339844,2.34986686846241,54.1367988586426,2015,3
"Hopa",41.4,41.4,20,10.2503601074219,6.38546142578127,13.8336730957031,6.33003066759557,58.9931907653809,2015,4
"Hopa",41.4,41.4,20,15.2428527832031,10.3767333984375,19.5506530761719,5.08248066762462,43.8888931274414,2015,5
"Hopa",41.4,41.4,20,19.8884521484375,15.7883850097656,23.8345581054688,5.10966475121677,37.0490036010742,2015,6
"Hopa",41.4,41.4,20,21.9564758300781,17.7199340820313,25.8429504394531,6.64778191130608,32.5876426696777,2015,7
"Hopa",41.4,41.4,20,20.9919677734375,17.4085327148438,24.9993225097656,1.89612762769684,23.8704109191895,2015,8
"Hopa",41.4,41.4,20,16.9936157226563,12.6805358886719,21.5102783203125,0.848067342303693,22.9075469970703,2015,9
"Hopa",41.4,41.4,20,11.1768737792969,6.81765136718752,15.8719116210938,1.08226269367151,41.7910804748535,2015,10
"Hopa",41.4,41.4,20,5.06362304687502,2.61916503906252,8.12087402343752,0.944262411212549,51.2360420227051,2015,11
"Hopa",41.4,41.4,20,-0.802893066406227,-3.4837707519531,2.44838867187502,0.868706626351923,50.9599456787109,2015,12
"Hopa",41.4,41.4,20,-1.13254394531248,-3.96503295898435,2.20217285156252,1.18679325096309,58.2753601074219,2016,1
"Hopa",41.4,41.4,20,2.24346313476565,-1.05667724609373,6.60012207031252,1.08777054701932,51.8106346130371,2016,2
"Hopa",41.4,41.4,20,4.89992675781252,1.52605590820315,8.41066894531252,3.73619289603084,65.6784591674805,2016,3
"Hopa",41.4,41.4,20,7.1229187011719,2.1343933105469,11.584375,2.66794092021883,43.7642822265625,2016,4
"Hopa",41.4,41.4,20,18.7069946289063,13.7845703125,23.4495788574219,4.72874528495595,44.6575012207031,2016,5
"Hopa",41.4,41.4,20,21.7680603027344,17.4018798828125,26.0624938964844,2.9955621692352,37.8356399536133,2016,6
"Hopa",41.4,41.4,20,22.0818115234375,18.3733764648438,25.8727966308594,2.95052243163809,35.9262962341309,2016,7
"Hopa",41.4,41.4,20,20.2041870117188,17.7627807617188,22.9815002441406,4.79878803016618,41.1153144836426,2016,8
"Hopa",41.4,41.4,20,16.5325866699219,12.93642578125,20.6344543457031,0.980113120749593,30.647611618042,2016,9
"Hopa",41.4,41.4,20,10.3064514160156,5.9691101074219,15.2470642089844,1.39391484553926,48.8074913024902,2016,10
"Hopa",41.4,41.4,20,3.30922851562502,0.0801025390625227,7.05169067382815,2.46174735948443,61.4172172546387,2016,11
"Hopa",41.4,41.4,20,-3.73142089843748,-6.84604492187498,-0.423620605468727,1.88771968823858,60.5662002563477,2016,12
"Hopa",41.4,41.4,20,-3.15390624999998,-6.23032226562498,0.295281982421898,0.766628011479042,58.3497047424316,2017,1
"Hopa",41.4,41.4,20,-3.83978881835935,-7.83768310546873,0.0190979003906477,1.57063794904388,53.2788238525391,2017,2
"Hopa",41.4,41.4,20,0.744409179687523,-2.50504150390623,4.28814086914065,2.99232403049245,54.1327590942383,2017,3
"Hopa",41.4,41.4,20,5.56203613281252,1.89345703125002,8.9487243652344,4.67220798600465,64.0788879394531,2017,4
"Hopa",41.4,41.4,20,17.3779235839844,12.6091552734375,21.9097229003906,5.85596174933016,48.1590232849121,2017,5
"Hopa",41.4,41.4,20,21.0040222167969,17.0905395507813,24.8777404785156,8.95022365730256,40.5324859619141,2017,6
"Hopa",41.4,41.4,20,22.6430908203125,19.15859375,26.3070007324219,7.83392828889191,45.1275177001953,2017,7
"Hopa",41.4,41.4,20,21.8328491210938,18.6375061035156,25.2483154296875,4.56860137637705,44.6800842285156,2017,8
"Hopa",41.4,41.4,20,14.6398254394531,9.99651489257815,19.3984008789063,0.667968663037755,25.0638580322266,2017,9
"Hopa",41.4,41.4,20,7.51738891601565,3.4892517089844,11.8175903320313,0.812912147375755,33.0476989746094,2017,10
"Hopa",41.4,41.4,20,4.86873779296877,1.24300537109377,8.95461425781252,2.72566383937374,58.7426261901855,2017,11
"Hopa",41.4,41.4,20,-3.43643798828123,-6.79755249023435,-0.304479980468727,1.74924870952964,63.4819221496582,2017,12
"Hopa",41.4,41.4,20,-4.13092651367185,-7.79767456054685,0.0479370117187727,0.417847355129197,38.8821449279785,2018,1
"Hopa",41.4,41.4,20,1.0226989746094,-1.80499877929685,5.54006347656252,0.548663351219147,41.2734031677246,2018,2
"Hopa",41.4,41.4,20,1.5314880371094,-1.17890014648435,4.57326660156252,1.77269111154601,59.1494255065918,2018,3
"Hopa",41.4,41.4,20,10.3804565429688,6.35894165039065,14.2434936523438,2.91238487698138,49.9396896362305,2018,4
"Hopa",41.4,41.4,20,18.7652221679688,13.4847961425781,23.9690490722656,3.17189079942182,31.7804660797119,2018,5
"Hopa",41.4,41.4,20,21.5324035644531,17.0948120117188,26.0013061523438,5.62309990637004,41.2128105163574,2018,6
"Hopa",41.4,41.4,20,20.5145812988281,17.2449279785156,23.9368835449219,2.73150393040851,31.5531539916992,2018,7
"Hopa",41.4,41.4,20,22.3567443847656,19.0741516113281,26.0772644042969,4.86891721375287,39.6834487915039,2018,8
"Hopa",41.4,41.4,20,15.7282348632813,11.8946166992188,19.8748413085938,1.18426791450474,33.0953788757324,2018,9
"Hopa",41.4,41.4,20,11.523828125,7.87258300781252,15.8661743164063,1.7511926300358,54.9001655578613,2018,10
"Hopa",41.4,41.4,20,3.01201782226565,1.12114868164065,5.61806640625002,2.10735677392222,62.6663780212402,2018,11
"Hopa",41.4,41.4,20,-3.19760742187498,-5.5642150878906,0.0869384765625227,0.54318579059327,43.3209533691406,2018,12
"Hopa",41.4,41.4,20,-4.25003662109373,-8.14081420898435,0.734582519531273,0.562067428836599,38.6472358703613,2019,1
"Hopa",41.4,41.4,20,-2.68375244140623,-5.4218811035156,0.654870605468773,1.13413727085572,66.6551361083984,2019,2
"Hopa",41.4,41.4,20,2.10689697265627,-0.795111083984352,5.55996093750002,2.8296523494646,54.9570388793945,2019,3
"Hopa",41.4,41.4,20,10.8200622558594,6.35271606445315,15.2533813476563,3.63900221418589,56.7524719238281,2019,4
"Hopa",41.4,41.4,20,16.9142700195313,12.7612548828125,21.0084167480469,6.92828292958438,49.2543487548828,2019,5
"Hopa",41.4,41.4,20,21.075830078125,15.73232421875,26.3625122070313,1.04270369920414,27.5105381011963,2019,6
"Hopa",41.4,41.4,20,23.3446899414063,19.0841613769531,27.6124206542969,4.37294575385749,37.4856147766113,2019,7
"Hopa",41.4,41.4,20,20.2708068847656,16.5852600097656,24.1826110839844,1.55762205831707,29.7554473876953,2019,8
"Hopa",41.4,41.4,20,17.408349609375,12.5804077148438,22.7646118164063,1.17761184519622,36.2037811279297,2019,9
"Hopa",41.4,41.4,20,6.28566894531252,2.02340087890627,10.5542846679688,3.54159087873995,50.5444717407227,2019,10
